age,samp_no,chain_no,ar,N
0,130001,2,0.14376996805111822,313
0,130001,3,0.15654952076677317,313
0,130001,4,0.14376996805111822,313
0,130001,5,0.134185303514377,313
0,131251,1,0.134185303514377,313
0,131251,2,0.13738019169329074,313
0,131251,3,0.15335463258785942,313
0,131251,4,0.08626198083067092,313
0,131251,5,0.14057507987220447,313
0,132501,1,0.14696485623003194,313
0,132501,2,0.1182108626198083,313
0,132501,3,0.12460063897763578,313
0,132501,4,0.09584664536741214,313
0,132501,5,0.12779552715654952,313
0,133751,1,0.1501597444089457,313
0,133751,2,0.10862619808306709,313
0,133751,3,0.14376996805111822,313
0,133751,4,0.09584664536741214,313
0,133751,5,0.12140575079872204,313
0,135001,1,0.11501597444089456,313
0,135001,2,0.1182108626198083,313
0,135001,3,0.13099041533546327,313
0,135001,4,0.14057507987220447,313
0,135001,5,0.12140575079872204,313
0,136251,1,0.12779552715654952,313
0,136251,2,0.14376996805111822,313
0,136251,3,0.12460063897763578,313
0,136251,4,0.14696485623003194,313
0,136251,5,0.13738019169329074,313
0,137501,1,0.08945686900958466,313
0,137501,2,0.12460063897763578,313
0,137501,3,0.14376996805111822,313
0,137501,4,0.1182108626198083,313
0,137501,5,0.1182108626198083,313
0,138751,1,0.16932907348242812,313
0,138751,2,0.15335463258785942,313
0,138751,3,0.14376996805111822,313
0,138751,4,0.11501597444089456,313
0,138751,5,0.11182108626198083,313
0,140001,1,0.11182108626198083,313
0,140001,2,0.13738019169329074,313
0,140001,3,0.11501597444089456,313
0,140001,4,0.09584664536741214,313
0,140001,5,0.1182108626198083,313
0,141251,1,0.11501597444089456,313
0,141251,2,0.12779552715654952,313
0,141251,3,0.1501597444089457,313
0,141251,4,0.11182108626198083,313
0,141251,5,0.11182108626198083,313
0,142501,1,0.13099041533546327,313
0,142501,2,0.15335463258785942,313
0,142501,3,0.13738019169329074,313
0,142501,4,0.134185303514377,313
0,142501,5,0.14696485623003194,313
0,143751,1,0.16613418530351437,313
0,143751,2,0.12779552715654952,313
0,143751,3,0.10862619808306709,313
0,143751,4,0.11501597444089456,313
0,143751,5,0.14696485623003194,313
0,145001,1,0.10543130990415335,313
0,145001,2,0.13099041533546327,313
0,145001,3,0.11501597444089456,313
0,145001,4,0.12140575079872204,313
0,145001,5,0.13738019169329074,313
0,146251,1,0.16613418530351437,313
0,146251,2,0.13099041533546327,313
0,146251,3,0.13099041533546327,313
0,146251,4,0.12140575079872204,313
0,146251,5,0.10862619808306709,313
0,147501,1,0.134185303514377,313
0,147501,2,0.16932907348242812,313
0,147501,3,0.12779552715654952,313
0,147501,4,0.09904153354632587,313
0,147501,5,0.14696485623003194,313
0,148751,1,0.10543130990415335,313
0,148751,2,0.1597444089456869,313
0,148751,3,0.11182108626198083,313
0,148751,4,0.11501597444089456,313
0,148751,5,0.1501597444089457,313
0,150001,1,0.13738019169329074,313
0,150001,2,0.15335463258785942,313
0,150001,3,0.1757188498402556,313
0,150001,4,0.1501597444089457,313
0,150001,5,0.16613418530351437,313
0,151251,1,0.1182108626198083,313
0,151251,2,0.08945686900958466,313
0,151251,3,0.12140575079872204,313
0,151251,4,0.12779552715654952,313
0,151251,5,0.15335463258785942,313
0,152501,1,0.1182108626198083,313
0,152501,2,0.16293929712460065,313
0,152501,3,0.09584664536741214,313
0,152501,4,0.12779552715654952,313
0,152501,5,0.10862619808306709,313
0,153751,1,0.10543130990415335,313
0,153751,2,0.1182108626198083,313
0,153751,3,0.13099041533546327,313
0,153751,4,0.12779552715654952,313
0,153751,5,0.134185303514377,313
0,155001,1,0.10862619808306709,313
0,155001,2,0.134185303514377,313
0,155001,3,0.16613418530351437,313
0,155001,4,0.11182108626198083,313
0,155001,5,0.10543130990415335,313
0,156251,1,0.12460063897763578,313
0,156251,2,0.14696485623003194,313
0,156251,3,0.15335463258785942,313
0,156251,4,0.11501597444089456,313
0,156251,5,0.14696485623003194,313
0,157501,1,0.15654952076677317,313
0,157501,2,0.10543130990415335,313
0,157501,3,0.12779552715654952,313
0,157501,4,0.12460063897763578,313
0,157501,5,0.134185303514377,313
0,158751,1,0.12460063897763578,313
0,158751,2,0.13099041533546327,313
0,158751,3,0.14696485623003194,313
0,158751,4,0.14696485623003194,313
0,158751,5,0.1182108626198083,313
0,160001,1,0.12140575079872204,313
0,160001,2,0.11182108626198083,313
0,160001,3,0.0926517571884984,313
0,160001,4,0.12460063897763578,313
