age,samp_no,chain_no,ar,N
0,388501,2,0.09584664536741214,313
0,388501,3,0.12460063897763578,313
0,388501,4,0.1501597444089457,313
0,388501,5,0.13099041533546327,313
0,392001,1,0.11182108626198083,313
0,392001,2,0.12140575079872204,313
0,392001,3,0.15654952076677317,313
0,392001,4,0.1597444089456869,313
0,392001,5,0.1501597444089457,313
0,395501,1,0.12140575079872204,313
0,395501,2,0.13099041533546327,313
0,395501,3,0.12140575079872204,313
0,395501,4,0.14376996805111822,313
0,395501,5,0.134185303514377,313
0,399001,1,0.15335463258785942,313
0,399001,2,0.12779552715654952,313
0,399001,3,0.12779552715654952,313
0,399001,4,0.16613418530351437,313
0,399001,5,0.13099041533546327,313
0,402501,1,0.10223642172523961,313
0,402501,2,0.14696485623003194,313
0,402501,3,0.16293929712460065,313
0,402501,4,0.12460063897763578,313
0,402501,5,0.134185303514377,313
0,406001,1,0.21405750798722045,313
0,406001,2,0.1853035143769968,313
0,406001,3,0.17252396166134185,313
0,406001,4,0.12140575079872204,313
0,406001,5,0.12140575079872204,313
0,409501,1,0.13738019169329074,313
0,409501,2,0.13738019169329074,313
0,409501,3,0.1182108626198083,313
0,409501,4,0.13738019169329074,313
0,409501,5,0.134185303514377,313
0,413001,1,0.13738019169329074,313
0,413001,2,0.134185303514377,313
0,413001,3,0.1182108626198083,313
0,413001,4,0.12779552715654952,313
0,413001,5,0.14696485623003194,313
0,416501,1,0.1182108626198083,313
0,416501,2,0.12460063897763578,313
0,416501,3,0.12460063897763578,313
0,416501,4,0.14376996805111822,313
0,416501,5,0.12460063897763578,313
0,420001,1,0.134185303514377,313
0,420001,2,0.10543130990415335,313
0,420001,3,0.10543130990415335,313
0,420001,4,0.12460063897763578,313
0,420001,5,0.13738019169329074,313
0,423501,1,0.12779552715654952,313
0,423501,2,0.17891373801916932,313
0,423501,3,0.14696485623003194,313
0,423501,4,0.09584664536741214,313
0,423501,5,0.17891373801916932,313
0,427001,1,0.10543130990415335,313
0,427001,2,0.12140575079872204,313
0,427001,3,0.12779552715654952,313
0,427001,4,0.12140575079872204,313
0,427001,5,0.1597444089456869,313
0,430501,1,0.16293929712460065,313
0,430501,2,0.14376996805111822,313
0,430501,3,0.14057507987220447,313
0,430501,4,0.12140575079872204,313
0,430501,5,0.15654952076677317,313
0,434001,1,0.15335463258785942,313
0,434001,2,0.11182108626198083,313
0,434001,3,0.12460063897763578,313
0,434001,4,0.11501597444089456,313
0,434001,5,0.12460063897763578,313
0,437501,1,0.14057507987220447,313
0,437501,2,0.14696485623003194,313
0,437501,3,0.13099041533546327,313
0,437501,4,0.15654952076677317,313
0,437501,5,0.12460063897763578,313
0,441001,1,0.17891373801916932,313
0,441001,2,0.12779552715654952,313
0,441001,3,0.12460063897763578,313
0,441001,4,0.15335463258785942,313
0,441001,5,0.134185303514377,313
0,444501,1,0.12140575079872204,313
0,444501,2,0.13099041533546327,313
0,444501,3,0.10543130990415335,313
0,444501,4,0.11501597444089456,313
0,444501,5,0.14057507987220447,313
0,448001,1,0.13738019169329074,313
0,448001,2,0.1501597444089457,313
0,448001,3,0.134185303514377,313
0,448001,4,0.14376996805111822,313
0,448001,5,0.13738019169329074,313
0,451501,1,0.1757188498402556,313
0,451501,2,0.12779552715654952,313
0,451501,3,0.1182108626198083,313
0,451501,4,0.13738019169329074,313
0,451501,5,0.15654952076677317,313
0,455001,1,0.1501597444089457,313
0,455001,2,0.15654952076677317,313
0,455001,3,0.1757188498402556,313
0,455001,4,0.14376996805111822,313
0,455001,5,0.1182108626198083,313
0,458501,1,0.15654952076677317,313
0,458501,2,0.15335463258785942,313
0,458501,3,0.13099041533546327,313
0,458501,4,0.18210862619808307,313
0,458501,5,0.15335463258785942,313
0,462001,1,0.134185303514377,313
0,462001,2,0.12140575079872204,313
0,462001,3,0.12460063897763578,313
0,462001,4,0.17891373801916932,313
0,462001,5,0.14696485623003194,313
0,465501,1,0.12460063897763578,313
0,465501,2,0.15654952076677317,313
0,465501,3,0.134185303514377,313
0,465501,4,0.12460063897763578,313
0,465501,5,0.10223642172523961,313
0,469001,1,0.1501597444089457,313
